Time Tags (Channel 1),Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
-2.43201E-07, 2.34604E-03, 9.811871717E-03, 2.95699E-03, 1.0748934313E-02, 2.9326E-04, 2.7022456893E-02, 1.95503E-03, 3.4076429246E-02, -7.8201E-04, 3.8282011540E-02, -2.17498E-03, 4.1317112179E-02, 2.07722E-03, 5.9609766731E-02, 4.59433E-03
-2.43045E-07, 2.34604E-03, 9.811871873E-03, 3.05474E-03, 1.0748934470E-02, 2.4438E-04, 2.7022457050E-02, 2.05279E-03, 3.4076429402E-02, -7.8201E-04, 3.8282011696E-02, -1.95503E-03, 4.1317112335E-02, 2.00391E-03, 5.9609766888E-02, 4.39883E-03
-2.42889E-07, 2.37048E-03, 9.811872029E-03, 3.15249E-03, 1.0748934626E-02, 3.1769E-04, 2.7022457206E-02, 2.19941E-03, 3.4076429558E-02, -7.5758E-04, 3.8282011853E-02, -1.66178E-03, 4.1317112491E-02, 2.00391E-03, 5.9609767044E-02, 4.27664E-03
-2.42733E-07, 2.39492E-03, 9.811872185E-03, 3.20137E-03, 1.0748934782E-02, 3.9101E-04, 2.7022457362E-02, 2.29717E-03, 3.4076429715E-02, -7.0870E-04, 3.8282012009E-02, -1.34409E-03, 4.1317112647E-02, 1.95503E-03, 5.9609767200E-02, 4.13001E-03
-2.42576E-07, 2.41935E-03, 9.811872342E-03, 3.22581E-03, 1.0748934938E-02, 5.1320E-04, 2.7022457518E-02, 2.39492E-03, 3.4076429871E-02, -6.5982E-04, 3.8282012165E-02, -1.02639E-03, 4.1317112804E-02, 1.93060E-03, 5.9609767356E-02, 3.98338E-03
-2.42420E-07, 2.41935E-03, 9.811872498E-03, 3.22581E-03, 1.0748935095E-02, 6.5982E-04, 2.7022457675E-02, 2.49267E-03, 3.4076430027E-02, -5.6207E-04, 3.8282012321E-02, -6.8426E-04, 4.1317112960E-02, 1.93060E-03, 5.9609767513E-02, 3.86119E-03
-2.42264E-07, 2.39492E-03, 9.811872654E-03, 3.17693E-03, 1.0748935251E-02, 8.3089E-04, 2.7022457831E-02, 2.56598E-03, 3.4076430183E-02, -4.8876E-04, 3.8282012478E-02, -3.4213E-04, 4.1317113116E-02, 1.88172E-03, 5.9609767669E-02, 3.71456E-03
-2.42108E-07, 2.37048E-03, 9.811872810E-03, 3.10362E-03, 1.0748935407E-02, 1.00196E-03, 2.7022457987E-02, 2.61486E-03, 3.4076430340E-02, -3.9101E-04, 3.8282012634E-02, 0.0E+00, 4.1317113272E-02, 1.85728E-03, 5.9609767825E-02, 3.59238E-03
-2.41951E-07, 2.34604E-03, 9.811872967E-03, 3.00587E-03, 1.0748935563E-02, 1.22190E-03, 2.7022458143E-02, 2.68817E-03, 3.4076430496E-02, -2.6882E-04, 3.8282012790E-02, 3.1769E-04, 4.1317113429E-02, 1.85728E-03, 5.9609767981E-02, 3.47019E-03
-2.41795E-07, 2.27273E-03, 9.811873123E-03, 2.88368E-03, 1.0748935720E-02, 1.44184E-03, 2.7022458300E-02, 2.73705E-03, 3.4076430652E-02, -1.4663E-04, 3.8282012946E-02, 6.3539E-04, 4.1317113585E-02, 1.83284E-03, 5.9609768138E-02, 3.34800E-03
-2.41639E-07, 2.27273E-03, 9.811873279E-03, 2.76149E-03, 1.0748935876E-02, 1.71065E-03, 2.7022458456E-02, 2.81036E-03, 3.4076430808E-02, 4.888E-05, 3.8282013103E-02, 9.7752E-04, 4.1317113741E-02, 1.88172E-03, 5.9609768294E-02, 3.27468E-03
-2.41483E-07, 2.17498E-03, 9.811873435E-03, 2.56598E-03, 1.0748936032E-02, 1.93060E-03, 2.7022458612E-02, 2.83480E-03, 3.4076430965E-02, 2.1994E-04, 3.8282013259E-02, 1.24633E-03, 4.1317113897E-02, 1.85728E-03, 5.9609768450E-02, 3.17693E-03
